[2026-09-18T04:14:18.654Z] GET http://localhost:5250/node_modules/.vite/deps/@radix-ui_react-dialog.js?v=62e8003a → 200 (?ms, 38470B)
[2026-09-18T04:14:18.654Z] GET http://localhost:5250/node_modules/.vite/deps/lucide-react.js?v=62e8003a → 200 (?ms, 3803486B)
[2026-09-18T04:14:18.654Z] GET http://localhost:5250/node_modules/.vite/deps/i18next-browser-languagedetector.js?v=62e8003a → 200 (1ms, 41461B)
[2026-09-18T04:14:18.655Z] GET http://localhost:5250/app/locales/en/index.ts → 304 (2ms, ?B)
[2026-09-18T04:14:18.655Z] GET http://localhost:5250/app/locales/sw/index.ts → 304 (2ms, ?B)
[2026-09-18T04:14:18.655Z] GET http://localhost:5250/node_modules/.vite/deps/react_jsx-runtime.js?v=62e8003a → 200 (?ms, 35787B)
[2026-09-18T04:14:18.655Z] GET http://localhost:5250/node_modules/.vite/deps/dist-DU8d7h_C.js?v=62e8003a → 200 (?ms, 133080B)
[2026-09-18T04:14:18.655Z] GET http://localhost:5250/node_modules/.vite/deps/es2015-Dmu7Yces.js?v=62e8003a → 200 (1ms, 163122B)
[2026-09-18T04:14:18.656Z] GET http://localhost:5250/node_modules/.vite/deps/clsx.js?v=62e8003a → 200 (?ms, 1992B)
[2026-09-18T04:14:18.656Z] GET http://localhost:5250/node_modules/.vite/deps/tailwind-merge.js?v=62e8003a → 200 (?ms, 286826B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/auth.ts → 304 (1ms, ?B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/common.ts → 304 (1ms, ?B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/nav.ts → 304 (1ms, ?B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/catalogue.ts → 304 (1ms, ?B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/trees.ts → 304 (1ms, ?B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/commercial.ts → 304 (3ms, ?B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/checkout.ts → 304 (3ms, ?B)
[2026-09-18T04:14:18.657Z] GET http://localhost:5250/app/locales/en/orders.ts → 304 (3ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/auth.ts → 304 (3ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/common.ts → 304 (3ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/nav.ts → 304 (1ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/catalogue.ts → 304 (5ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/trees.ts → 304 (5ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/commercial.ts → 304 (5ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/checkout.ts → 304 (5ms, ?B)
[2026-09-18T04:14:18.658Z] GET http://localhost:5250/app/locales/sw/orders.ts → 304 (6ms, ?B)
[2026-09-18T04:14:18.704Z] GET http://localhost:5250/node_modules/.vite/deps/react-dom_client.js?v=62e8003a → 200 (?ms, 2819504B)
[2026-09-18T04:14:18.704Z] GET http://localhost:5250/node_modules/.vite/deps/react-router_dom.js?v=62e8003a → 200 (?ms, 105827B)
[2026-09-18T04:14:18.770Z] GET http://localhost:5250/__manifest?paths=%2Flogin&version=0.7218286195226539 → 200 (?ms, 505B)
